Species;Mass;Mean_mass
Recurvirostra avosetta;250-400;325
Limosa limosa;300;300
Limosa lapponica;262-630;446
Calidris ferruginea;45-90;67.5
Calidris fuscicollis;30-60;45
Calidris temminckii;17-32;24.5
Calidris canutus;125-215;170
Calidris minuta;20-40;30
Calidris alba;45-85;65
Calidris melanotos;31-126;78.5
Calidris alpina;40-50;45
Calidris maritima;"60-75
";67.5
Gallinago gallinago;80-120;100
Lymnocryptes minimus;35-70;52.5
Tringa nebularia;140-270;205
Tringa erythropus;160-205 ;182.5
Philomachus pugnax;70-150;110
Tringa ochropus ;70-90;80
Tringa totanus;110-155 ;132.5
Actitis hypoleucos;40-60;50
Tringa stagnatilis;55-90;72.5
Tringa glareola;50-90;70
Numenius arquata;475-1360;917.5
Numenius phaeopus;270-450;360
Himantopus himantopus;160-220;190
Charadrius hiaticula;55-75;65
Charadrius alexandrinus;40-60;50
Haematopus ostralegus;400-700;550
Burhinus oedicnemus;370-450;410
Charadrius dubius;30-50;40
Phalaropus lobatus;25-50;37.5
Phalaropus fulicarius;50-75;62.5
Phalaropus tricolor;50-128;89
Pluvialis squatarola;170-240;205
Pluvialis apricaria;140-210;175
Arenaria interpres;80-110;95
Vanellus vanellus;150-310;230
Tringa ochropus;70-90;80
Anas platyrhynchos;750-1500;1125
Anas acuta;550-1200;875
Anas strepera;650-900;775
Anas penelope;485-1070;777.5
Anas clypeata;400-1000;700
Anas crecca;250-400;325
Aythya ferina;700-1000;850
Aythya fuligula;450-1000;725
Aythya marila;800-1300;1050
Tadorna tadorna;850-1400;1125
Anas querquedula;280-500;390
Cygnus olor;10000-12000;11000
Anser anser;2800-3700;3250
Netta rufina;1000-1300;1150
Branta bernicla;1300-1600;1450
Branta canadensis;4300-5000;4650
Fulica atra;570-800;685
Ardea cinerea;1000-2000;1500
Nycticorax nycticorax;700-1000;850
Phalacrocorax carbo;2600-3700;3150
Tachybaptus ruficollis;100-275;187.5
Chroicocephalus ridibundus;195-374;284.5
Ciconia ciconia;2300-4400;3350
Bubulcus ibis;270-512;391
Egretta garzetta;500;500
Platalea leucorodia;1200-1700;1450
Podiceps nigricollis;200-400;300
Gallinula chloropus;260-400;330
Podiceps cristatus;700-1200;950
Larus michahellis;750-1250;1000
Rallus aquaticus;75-190;132.5
Larus argentatus;750-1250;1000
Larus marinus;1400-2300;1850
Larus fuscus;450-1100;775
Casmerodius albus;700-1500;1100
Falco peregrinus;750-1300;1025
Circus aeruginosus;400-800;600
Threskiornis aethiopicus;1250-1500;1375
Milvus migrans;650-950;800
Accipiter nisus;100-340;220
Alcedo atthis;40;40
