"";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"USN00-Réserve ornithologique (générique)";143;148;161;175;164;183;187;1263;3246;3637;4093;3434;2838;1969;2370;2539;2647;3081;2370;1960;1973;2112;1994;1940;1291;1861;2478;2452;2152;2300;367;1801;1492;1120;1;12;1;5;0;8;0;0;3;0
"USN01-Artigues-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1534;0;0;0;108;524;536;375;815;304;191;196;198;48
"USN02-Etangs Milan-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;144;108;161;102;124;98;79;91;10
"USN03-Marais Cistude-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;51;45;52;41;57;37;39;34;8
"USN04-Gd Large EST-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;473;763;600;595;483;433;335;602;64
"USN05-Gd Large CENTRE-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;604;1107;723;807;615;645;540;656;155
"USN06-Gd Large OUEST-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;91;162;115;91;152;116;115;108;37
"USN07-Marais Aigrette-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;219;294;361;297;417;424;322;227;31
"USN08-Marais CENTRE- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;228;327;333;303;275;216;210;202;25
"USN09-Roselière EST- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;67;5;3;6;3;3;6;1
"USN10-Roselière CENTRE- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61;21;14;12;21;48;18;17;2
"USN11-Roselière OUEST- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;10;0;1;0;0;0;0
"USN12- Etang Busard- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;332;644;625;588;426;178;261;327;30
"USN13-Vasière Spatule- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;751;934;722;835;889;673;575;724;231
"USN14-Vasière Echasse-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;145;266;247;230;303;258;250;307;68
"USN15-Marais OUEST- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;218;286;247;222;230;179;179;161;60
"USN16-Prairies-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;121;221;231;237;147;146;147;108;44
"USN17-Lagune Quancard-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;880;775;1000;822;1341;861;547;402;115
"USN18- Lagune Avocette-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;335;363;408;471;345;446;437;51
